CO_CEP,Latitude,Longitude
74715340,-16.680882,-49.2532691
52111320,-8.0179045,-34.8951147
89620000,-27.4003383,-51.2232108
59297591,-5.7803095,-35.3134705
9112150,-23.7672489,-46.3727555
17209170,-22.3040893,-48.5565475
36307536,-21.0983862,-44.2141347
3028040,-23.5383214,-46.6391624
3712020,-23.5383214,-46.6391624
13450032,-22.7542539,-47.4137884
49350000,-3.6856134,-40.3417371
17209260,-22.3040893,-48.5565475
38020160,-19.8029911,-47.9256899
91793320,-30.0324999,-51.2303767
57073020,-9.6389302,-35.7129126
3678090,-23.5383214,-46.6391624
5657140,-23.6196996,-46.7128761
59138300,-5.8193078,-35.2126281
56903440,-7.9856277,-38.3102294
80530260,-25.4944375,-49.284271
8630140,-23.6630981,-46.307061
60762200,-3.8119798,-38.5714436
91510710,-30.0324999,-51.2303767
59628390,-5.2180344,-37.3412308
74030030,-16.680882,-49.2532691
11600227,-23.7330856,-45.4518305
23815510,-22.870807,-43.7639969
74423370,-16.680882,-49.2532691
88865000,-28.6536056,-49.5177218
68420000,-2.5511097,-49.5291011
13073180,-22.8856468,-47.0602398
2883010,-23.5383214,-46.6391624
3871100,-23.5383214,-46.6391624
7020110,-23.4547216,-46.4772698
79090294,-20.4494839,-54.6081159
4649040,-23.5383214,-46.6391624
5820120,-23.5383214,-46.6391624
25015332,-22.7814972,-43.288406
48007828,-12.1637841,-38.4306738
63632000,-5.4530695,-39.7141886
13178373,-22.8075285,-47.2205009
8450540,-23.5383214,-46.6391624
89224031,-26.2616298,-48.8097639
3193040,-23.5383214,-46.6391624
3986120,-23.5383214,-46.6391624
95074120,-29.1625457,-51.1637053
68907030,0.0965796,-51.0955937
49260970,-11.3761491,-37.6586196
95520000,-29.9095919,-50.2661667
63030280,-7.2427097,-39.3368691
72270300,-15.8047682,-48.1435045
96506260,-30.0024783,-52.916859
8573070,-23.4888125,-46.3507754
31710100,-19.8364589,-43.9634443
89275000,-26.4009689,-49.0818302
6634010,-23.5217186,-46.9274298
89812160,-27.1056204,-53.399227
96820060,-29.714209,-52.4285807
6220170,-23.5299744,-46.7825411
96211570,-28.731201,-52.841286
5884130,-23.5383214,-46.6391624
25520110,-22.7839756,-43.3457664
4151050,-23.5383214,-46.6391624
78590000,-9.6758053,-56.4704907
89566266,-27.0042269,-51.1518833
69075351,-3.1361215,-59.9787093
65730000,-4.867336,-44.3573897
45603182,-14.7578682,-39.4800568
11035071,-23.9335988,-46.3286399
69058230,1.9635842,-67.7824958
53545620,-7.9042839,-34.9021268
54360060,-8.1368374,-34.9739215
75384379,-16.6667109,-49.4999191
96065570,-31.7787397,-52.354391
13390070,-22.8365387,-47.606651
13222280,-23.2070135,-46.8131989
72878624,-16.1209158,-48.0016705
68440000,-1.7340465,-48.8697847
6310101,-23.5340961,-46.8295191
88704900,-28.4817452,-49.0200399
18600010,-22.8841105,-48.4466526
97501760,-29.7622064,-57.0570539
15406255,-20.736634,-48.910625
86060238,-23.3143061,-51.1768704
63970000,-4.8194345,-38.8208476
89220230,-26.3044898,-48.8486726
20910060,-22.9080777,-43.1790268
24431005,-22.8294686,-43.0892531
4543120,-23.5383214,-46.6391624
5758150,-23.5383214,-46.6391624
67133810,-1.3844893,-48.433755
5534000,-23.5383214,-46.6391624
15500086,-20.4083838,-49.9769098
59296391,-5.7803095,-35.3134705
8475340,-23.5903562,-46.4005568
59616071,-5.1506216,-37.3640177
44006130,-12.2896884,-38.9281477
20550140,-22.9153863,-43.2303295
9320030,-23.6818722,-46.4655555
75361809,-16.5001973,-49.4254788
49035640,-10.9126637,-37.0780531
6122180,-23.5299744,-46.7825411
25045035,-22.7814972,-43.288406
57860000,-9.0076772,-36.0564631
69932000,-11.0092076,-68.7429373
63028190,-7.2427097,-39.3368691
18406380,-23.9929528,-48.8738052
59077010,-5.8193078,-35.2126281
19800003,-22.661368,-50.4151956
13484000,-22.5491704,-47.4114475
35500259,-20.1350701,-44.8714652
74690350,-16.680882,-49.2532691
5566000,-23.5383214,-46.6391624
60334130,-3.7082734,-38.5719243
59288899,-5.863541,-35.3501137
65057661,-2.5295265,-44.2963942
89504622,-26.7567224,-51.0206579
61900590,-3.8617253,-38.6543596
29101040,-20.3293594,-40.2744183
25850000,-22.1694535,-43.2895371
65880000,-6.7360896,-44.0479251
5396450,-23.5753027,-46.7736357
91790090,-30.0324999,-51.2303767
76812080,-8.7029077,-63.8744934
71596324,-15.7508868,-47.9250462
8763000,-23.5521163,-46.2342052
88704440,-28.500442,-49.0240426
40015902,-12.9822499,-38.4812772
36030142,-21.7123247,-43.4076691
68180090,-4.2714703,-55.983027
88350101,-27.1255942,-48.8772084
7151350,-23.4316111,-46.4075899
13183761,-22.9009729,-47.2379472
69087663,1.9635842,-67.7824958
30666380,-19.9227318,-43.9450948
40437170,-12.9822499,-38.4812772
86058100,-23.3491063,-51.2090141
30525040,-19.9227318,-43.9450948
68444000,-1.7238106,-48.8877889
77708000,-9.0588537,-48.523215
36200012,-21.2373905,-43.7730555
40243250,-12.9822499,-38.4812772
13177063,-22.8075285,-47.2205009
2616090,-23.4683581,-46.6558864
5583110,-23.5383214,-46.6391624
8473440,-23.5383214,-46.6391624
19010072,-22.0803639,-51.383875
53413630,-7.9340069,-34.868407
4414100,-23.5383214,-46.6391624
4546001,-23.5996676,-46.6772844
69020120,-3.1308396,-60.0098157
2013040,-23.5383214,-46.6391624
13201048,-23.1814232,-46.8962348
14025240,-21.2011506,-47.7851607
8412030,-23.5383214,-46.6391624
90245000,-29.994018,-51.1963264
65085070,-2.5295265,-44.2963942
22755180,-22.9080777,-43.1790268
74960250,-16.802018,-49.324537
80530300,-25.4944375,-49.284271
41290260,-12.9822499,-38.4812772
54320622,-8.1454229,-34.9355544
38060240,-19.8029911,-47.9256899
12230720,-23.1867782,-45.8854538
13309290,-23.2836653,-47.2890333
75115420,-16.2631455,-48.9486238
11340080,-23.9664177,-46.3861401
13920077,-23.7155433,-46.653776
37502454,-22.4316832,-45.4469433
72020040,-15.7508868,-47.9250462
24470570,-22.8651033,-43.0667223
60455515,-3.7453685,-38.5598258
44054128,-12.2896884,-38.9281477
45208209,-13.8687585,-40.0663173
87505060,-23.7662286,-53.3140177
41337390,-12.9822499,-38.4812772
75709350,-18.1519165,-47.9552694
58433545,-7.2407038,-35.8980565
37558608,-22.2849869,-45.9223637
91510070,-30.0324999,-51.2303767
34590110,-19.8900372,-43.8107916
4456205,-23.5383214,-46.6391624
24425320,-22.8504933,-43.0948924
58042006,-7.1199459,-34.8444426
96360000,-31.86505,-52.8268049
5181220,-23.5383214,-46.6391624
95010100,-29.1742001,-51.1708823
39160000,-18.4660825,-43.3091358
60125121,-3.7476684,-38.5053189
96408000,-31.3405541,-54.0882742
56440000,-8.762447,-38.9591625
26310440,-22.7330157,-43.6341281
80620270,-25.4944375,-49.284271
22720010,-22.9195007,-43.3877545
61920330,-3.8617253,-38.6543596
19600152,-22.2245393,-50.8835159
2535010,-23.5383214,-46.6391624
8411370,-23.5383214,-46.6391624
31140280,-19.9227318,-43.9450948
65055285,-2.5675312,-44.2318686
91260396,-30.0324999,-51.2303767
65059680,-2.5295265,-44.2963942
50060003,-8.0559721,-34.8951545
2049005,-23.5383214,-46.6391624
94838110,-29.9981184,-51.0772509
13405230,-21.993173,-47.3333435
59235000,-6.1497352,-36.1166085
39403213,-16.6976459,-43.86788
99660000,-27.7168047,-52.6231966
56912902,-7.9856277,-38.3102294
7173080,-23.4316111,-46.4075899
70774400,-15.7508868,-47.9250462
14080100,-21.2011506,-47.7851607
63038100,-7.2427097,-39.3368691
78110500,-15.7087221,-56.1309731
2352000,-23.4546016,-46.5967462
11700200,-24.0321924,-46.5261769
98780812,-27.8643546,-54.4779287
13170584,-22.8075285,-47.2205009
93819302,-29.6538164,-50.9855774
95893000,-29.420851,-51.7673591
82320020,-25.4944375,-49.284271
58070310,-7.1086237,-34.8706593
31210410,-19.9227318,-43.9450948
9715021,-23.7130771,-46.5467551
